onset	duration	trial	value	instruction
4649	8	1	1	rest
12579	7	1	2	task
19577	5	1	3	interval
24624	8	2	1	rest
32581	7	2	2	task
39599	5	2	3	interval
44626	8	3	1	rest
52619	7	3	2	task
59583	5	3	3	interval
64633	8	4	1	rest
72583	7	4	2	task
79612	5	4	3	interval
84635	8	5	1	rest
92623	7	5	2	task
99618	5	5	3	interval
104641	8	6	1	rest
112601	7	6	2	task
119598	5	6	3	interval
124638	8	7	1	rest
132600	7	7	2	task
139614	5	7	3	interval
144649	8	8	1	rest
152601	7	8	2	task
159620	5	8	3	interval
164655	8	9	1	rest
172620	7	9	2	task
179608	5	9	3	interval
184656	8	10	1	rest
192619	7	10	2	task
199646	5	10	3	interval
204660	8	11	1	rest
212618	7	11	2	task
219614	5	11	3	interval
224657	8	12	1	rest
232634	7	12	2	task
239613	5	12	3	interval
244660	8	13	1	rest
252635	7	13	2	task
259617	5	13	3	interval
264667	8	14	1	rest
272621	7	14	2	task
279631	5	14	3	interval
284691	8	15	1	rest
292654	7	15	2	task
299627	5	15	3	interval
304669	8	16	1	rest
312626	7	16	2	task
319632	5	16	3	interval
324682	8	17	1	rest
332656	7	17	2	task
339631	5	17	3	interval
344679	8	18	1	rest
352640	7	18	2	task
359633	5	18	3	interval
364681	8	19	1	rest
372634	7	19	2	task
379629	5	19	3	interval
384688	8	20	1	rest
392634	7	20	2	task
399639	5	20	3	interval
