onset	duration	trial	value	instruction
9528	8	1	2	task
17511	7	1	3	interval
24357	5	2	1	rest
29468	8	2	2	task
37516	7	2	3	interval
44364	5	3	1	rest
49465	8	3	2	task
57492	7	3	3	interval
64368	5	4	1	rest
69471	8	4	2	task
77519	7	4	3	interval
84373	5	5	1	rest
89471	8	5	2	task
97453	7	5	3	interval
104373	5	6	1	rest
109469	8	6	2	task
117464	7	6	3	interval
124375	5	7	1	rest
129471	8	7	2	task
137525	7	7	3	interval
144372	5	8	1	rest
149475	8	8	2	task
157520	7	8	3	interval
164371	5	9	1	rest
169479	8	9	2	task
177516	7	9	3	interval
184375	5	10	1	rest
189476	8	10	2	task
197522	7	10	3	interval
204373	5	11	1	rest
209478	8	11	2	task
217437	7	11	3	interval
224376	5	12	1	rest
229479	8	12	2	task
237480	7	12	3	interval
244387	5	13	1	rest
249485	8	13	2	task
257489	9	13	3	interval
266350	3	14	1	rest
269488	8	14	2	task
277498	7	14	3	interval
284713	5	15	1	rest
289486	8	15	2	task
297535	7	15	3	interval
304382	5	16	1	rest
309492	8	16	2	task
317492	7	16	3	interval
324390	5	17	1	rest
329495	8	17	2	task
337504	7	17	3	interval
344931	5	18	1	rest
349500	8	18	2	task
357519	7	18	3	interval
364408	5	19	1	rest
369503	8	19	2	task
377507	7	19	3	interval
384410	5	20	1	rest
389505	8	20	2	task
397540	7	20	3	interval
404401	5	21	1	rest
409502	8	21	2	task
417575	12	21	3	interval
429503	8	22	1	rest
437551	7	22	2	task
444408	5	22	3	interval
449509	8	23	1	rest
457541	7	23	2	task
464408	5	23	3	interval
469505	8	24	1	rest
477533	7	24	2	task
484410	5	24	3	interval
489506	8	25	1	rest
497499	7	25	2	task
504415	5	25	3	interval
