onset	duration	trial	value	instruction
7049	8	1	3	interval
15026	9	2	1	rest
24080	3	2	2	task
27345	8	2	3	interval
35005	7	3	1	rest
41880	5	3	2	task
46989	8	3	3	interval
55018	7	4	1	rest
61885	5	4	2	task
66992	8	4	3	interval
75003	12	5	1	rest
86998	8	5	2	task
95044	7	5	3	interval
101889	5	6	1	rest
106988	8	6	2	task
114993	7	6	3	interval
122306	5	7	1	rest
126995	8	7	2	task
135003	7	7	3	interval
141899	5	8	1	rest
146996	8	8	2	task
154989	7	8	3	interval
161916	5	9	1	rest
167000	8	9	2	task
175001	7	9	3	interval
181898	5	10	1	rest
186995	8	10	2	task
195023	12	10	3	interval
207005	8	11	1	rest
215027	7	11	2	task
221905	5	11	3	interval
227005	8	12	1	rest
235059	7	12	2	task
241899	5	12	3	interval
247009	8	13	1	rest
255055	10	13	2	task
265074	3	13	3	interval
268243	7	14	1	rest
275034	7	14	2	task
281905	5	14	3	interval
287018	8	15	1	rest
295043	7	15	2	task
301924	5	15	3	interval
307014	8	16	1	rest
315069	7	16	2	task
321911	5	16	3	interval
327017	8	17	1	rest
335000	7	17	2	task
342244	5	17	3	interval
347010	8	18	1	rest
355043	7	18	2	task
361926	5	18	3	interval
367019	8	19	1	rest
375090	7	19	2	task
381919	5	19	3	interval
387023	8	20	1	rest
395057	7	20	2	task
401920	5	20	3	interval
407024	8	21	1	rest
415033	7	21	2	task
421917	5	21	3	interval
427029	8	22	1	rest
435056	7	22	2	task
441939	5	22	3	interval
447029	8	23	1	rest
455037	7	23	2	task
461924	5	23	3	interval
467027	8	24	1	rest
475047	8	24	2	task
482520	5	24	3	interval
487035	8	25	1	rest
495089	7	25	2	task
501926	3	25	3	interval
