onset	duration	trial	value	instruction
19837	8	1	3	interval
27834	7	2	1	rest
35136	5	2	2	task
39762	8	2	3	interval
47793	7	3	1	rest
54672	5	3	2	task
59762	8	3	3	interval
67723	7	4	1	rest
74754	5	4	2	task
79762	8	4	3	interval
87797	7	5	1	rest
94659	5	5	2	task
99764	8	5	3	interval
107847	7	6	1	rest
114668	5	6	2	task
119772	8	6	3	interval
127792	7	7	1	rest
134665	5	7	2	task
139765	8	7	3	interval
147819	7	8	1	rest
154668	5	8	2	task
159836	8	8	3	interval
167850	7	9	1	rest
174665	5	9	2	task
179769	8	9	3	interval
187805	7	10	1	rest
194675	5	10	2	task
199780	8	10	3	interval
207828	7	11	1	rest
214675	5	11	2	task
219791	8	11	3	interval
227820	7	12	1	rest
234679	5	12	2	task
239782	8	12	3	interval
247841	7	13	1	rest
254687	5	13	2	task
259786	8	13	3	interval
267838	12	14	1	rest
279792	8	14	2	task
287844	7	14	3	interval
294693	5	15	1	rest
299798	8	15	2	task
307841	7	15	3	interval
314697	5	16	1	rest
319795	8	16	2	task
327842	7	16	3	interval
334695	5	17	1	rest
339812	8	17	2	task
347845	7	17	3	interval
354725	5	18	1	rest
359811	8	18	2	task
367849	7	18	3	interval
374717	5	19	1	rest
379825	8	19	2	task
387875	7	19	3	interval
394715	5	20	1	rest
399818	8	20	2	task
407784	7	20	3	interval
414713	5	21	1	rest
419820	8	21	2	task
427814	7	21	3	interval
434718	5	22	1	rest
439822	8	22	2	task
447855	7	22	3	interval
454732	5	23	1	rest
459834	8	23	2	task
467855	7	23	3	interval
474721	5	24	1	rest
479825	8	24	2	task
487840	7	24	3	interval
494722	5	25	1	rest
499825	8	25	2	task
507853	5	25	3	interval
