onset	duration	trial	value	instruction
7841	8	1	1	rest
15812	7	1	2	task
22664	5	1	3	interval
27768	8	2	1	rest
35780	7	2	2	task
42669	5	2	3	interval
47771	8	3	1	rest
55836	7	3	2	task
62670	5	3	3	interval
67778	8	4	1	rest
75820	7	4	2	task
82846	5	4	3	interval
87777	8	5	1	rest
95794	7	5	2	task
102683	5	5	3	interval
107783	8	6	1	rest
115829	7	6	2	task
122693	5	6	3	interval
127782	8	7	1	rest
135818	7	7	2	task
142687	5	7	3	interval
147783	8	8	1	rest
155812	7	8	2	task
162686	5	8	3	interval
167785	8	9	1	rest
175813	7	9	2	task
182682	5	9	3	interval
187788	8	10	1	rest
195817	7	10	2	task
202684	5	10	3	interval
207788	8	11	1	rest
215828	7	11	2	task
222685	5	11	3	interval
227801	8	12	1	rest
235833	7	12	2	task
242691	5	12	3	interval
247794	8	13	1	rest
255766	7	13	2	task
262695	5	13	3	interval
267800	8	14	1	rest
275840	7	14	2	task
282698	5	14	3	interval
287805	8	15	1	rest
295791	7	15	2	task
302701	5	15	3	interval
307801	8	16	1	rest
315758	7	16	2	task
322702	5	16	3	interval
327806	8	17	1	rest
335844	7	17	2	task
342701	5	17	3	interval
347809	8	18	1	rest
355844	7	18	2	task
362702	5	18	3	interval
367814	8	19	1	rest
375853	7	19	2	task
382706	5	19	3	interval
387816	8	20	1	rest
395853	7	20	2	task
402711	5	20	3	interval
407824	8	21	1	rest
415827	7	21	2	task
422724	5	21	3	interval
427825	8	22	1	rest
435855	7	22	2	task
442833	5	22	3	interval
447834	8	23	1	rest
455852	7	23	2	task
462722	5	23	3	interval
467833	8	24	1	rest
475868	7	24	2	task
482725	5	24	3	interval
487837	8	25	1	rest
495845	7	25	2	task
502735	5	25	3	interval
