onset	duration	trial	value	instruction
13135	8	1	2	task
21160	7	1	3	interval
28010	5	2	1	rest
33111	8	2	2	task
41142	7	2	3	interval
48009	5	3	1	rest
53108	8	3	2	task
61096	7	3	3	interval
68004	5	4	1	rest
73116	8	4	2	task
81161	7	4	3	interval
88012	5	5	1	rest
93123	8	5	2	task
101150	7	5	3	interval
108022	5	6	1	rest
113120	8	6	2	task
121169	7	6	3	interval
128112	5	7	1	rest
133121	8	7	2	task
141162	7	7	3	interval
148025	5	8	1	rest
153131	8	8	2	task
161154	7	8	3	interval
168023	5	9	1	rest
173122	8	9	2	task
181160	7	9	3	interval
188028	5	10	1	rest
193135	8	10	2	task
201156	7	10	3	interval
208033	5	11	1	rest
213137	8	11	2	task
221176	7	11	3	interval
228037	5	12	1	rest
233135	8	12	2	task
241154	7	12	3	interval
248580	5	13	1	rest
253137	8	13	2	task
261177	7	13	3	interval
268034	5	14	1	rest
273140	8	14	2	task
281171	7	14	3	interval
288045	5	15	1	rest
293133	8	15	2	task
301185	7	15	3	interval
308037	5	16	1	rest
313150	8	16	2	task
321138	12	16	3	interval
333145	8	17	1	rest
341168	7	17	2	task
348043	5	17	3	interval
353145	8	18	1	rest
361160	7	18	2	task
368045	5	18	3	interval
373146	8	19	1	rest
381175	7	19	2	task
388364	5	19	3	interval
393149	8	20	1	rest
401161	7	20	2	task
408055	5	20	3	interval
413150	8	21	1	rest
421203	7	21	2	task
428049	5	21	3	interval
433152	8	22	1	rest
441196	7	22	2	task
448063	5	22	3	interval
453155	8	23	1	rest
461166	7	23	2	task
468050	5	23	3	interval
473162	8	24	1	rest
481155	7	24	2	task
488071	5	24	3	interval
493153	8	25	1	rest
501148	7	25	2	task
508063	5	25	3	interval
