onset	duration	trial	value	instruction
7965	8	1	1	rest
15896	7	1	2	task
22891	5	1	3	interval
27940	8	2	1	rest
35892	7	2	2	task
42905	5	2	3	interval
47946	8	3	1	rest
55894	7	3	2	task
62895	5	3	3	interval
67934	8	4	1	rest
75894	7	4	2	task
82926	5	4	3	interval
87949	8	5	1	rest
95902	7	5	2	task
102927	5	5	3	interval
107946	8	6	1	rest
115899	7	6	2	task
122916	5	6	3	interval
127949	8	7	1	rest
135929	7	7	2	task
142952	5	7	3	interval
147956	8	8	1	rest
155911	7	8	2	task
162922	5	8	3	interval
167971	8	9	1	rest
175938	7	9	2	task
182935	5	9	3	interval
187955	8	10	1	rest
195917	7	10	2	task
202928	5	10	3	interval
207953	8	11	1	rest
215939	7	11	2	task
222910	5	11	3	interval
227954	8	12	1	rest
235912	7	12	2	task
242910	5	12	3	interval
247963	8	13	1	rest
255947	7	13	2	task
262936	5	13	3	interval
267965	8	14	1	rest
275935	7	14	2	task
282915	5	14	3	interval
287969	8	15	1	rest
295928	7	15	2	task
302918	5	15	3	interval
307969	8	16	1	rest
315945	7	16	2	task
322921	5	16	3	interval
327970	8	17	1	rest
335931	7	17	2	task
342930	5	17	3	interval
347972	8	18	1	rest
355942	7	18	2	task
362958	5	18	3	interval
367977	8	19	1	rest
375968	7	19	2	task
382932	5	19	3	interval
387984	8	20	1	rest
395964	7	20	2	task
402942	5	20	3	interval
