onset	duration	trial	value	instruction
3784	8	1	1	rest
11662	7	1	2	task
18687	5	1	3	interval
23686	8	2	1	rest
31643	7	2	2	task
38670	5	2	3	interval
43690	8	3	1	rest
51648	7	3	2	task
58645	5	3	3	interval
63687	8	4	1	rest
71651	7	4	2	task
78645	5	4	3	interval
83701	8	5	1	rest
91672	7	5	2	task
98674	5	5	3	interval
103686	8	6	1	rest
111676	7	6	2	task
118669	5	6	3	interval
123696	8	7	1	rest
131654	7	7	2	task
138682	5	7	3	interval
143704	8	8	1	rest
151663	7	8	2	task
158661	5	8	3	interval
163701	8	9	1	rest
171680	7	9	2	task
178660	5	9	3	interval
183700	8	10	1	rest
191689	7	10	2	task
198660	5	10	3	interval
203703	8	11	1	rest
211668	7	11	2	task
218658	5	11	3	interval
223704	8	12	1	rest
231662	7	12	2	task
238660	5	12	3	interval
243709	8	13	1	rest
251689	7	13	2	task
258714	5	13	3	interval
263718	8	14	1	rest
271680	7	14	2	task
278699	5	14	3	interval
283719	8	15	1	rest
291699	7	15	2	task
298684	5	15	3	interval
303726	8	16	1	rest
311688	7	16	2	task
318683	5	16	3	interval
323726	8	17	1	rest
331710	7	17	2	task
338686	5	17	3	interval
343737	8	18	1	rest
351701	7	18	2	task
358696	5	18	3	interval
363742	8	19	1	rest
371696	7	19	2	task
378698	5	19	3	interval
383750	8	20	1	rest
391731	7	20	2	task
398719	5	20	3	interval
