onset	duration	trial	value	instruction
13854	8	1	1	rest
21852	9	1	2	task
30579	3	1	3	interval
33821	8	2	1	rest
41840	7	2	2	task
48723	5	2	3	interval
53835	8	3	1	rest
61840	7	3	2	task
68734	5	3	3	interval
73840	8	4	1	rest
81828	7	4	2	task
88938	5	4	3	interval
93843	8	5	1	rest
101867	7	5	2	task
108734	5	5	3	interval
113839	8	6	1	rest
121868	7	6	2	task
128743	5	6	3	interval
133841	8	7	1	rest
141875	7	7	2	task
148743	5	7	3	interval
153851	8	8	1	rest
161887	7	8	2	task
168748	5	8	3	interval
173855	8	9	1	rest
181906	7	9	2	task
188750	5	9	3	interval
193846	8	10	1	rest
201896	7	10	2	task
209007	5	10	3	interval
213850	8	11	1	rest
221888	7	11	2	task
228751	5	11	3	interval
233853	8	12	1	rest
241874	7	12	2	task
248750	5	12	3	interval
253856	8	13	1	rest
261878	12	13	2	task
273865	8	13	3	interval
281900	7	14	1	rest
288759	5	14	2	task
293865	8	14	3	interval
301929	7	15	1	rest
308760	5	15	2	task
313869	8	15	3	interval
321904	7	16	1	rest
328767	5	16	2	task
333871	8	16	3	interval
341854	12	17	1	rest
353868	8	17	2	task
361857	7	17	3	interval
368770	5	18	1	rest
373868	8	18	2	task
381908	7	18	3	interval
388772	5	19	1	rest
393876	8	19	2	task
401928	7	19	3	interval
408773	5	20	1	rest
413882	8	20	2	task
421900	7	20	3	interval
428777	5	21	1	rest
433882	8	21	2	task
441927	7	21	3	interval
448777	5	22	1	rest
453888	8	22	2	task
461963	7	22	3	interval
468788	5	23	1	rest
473899	8	23	2	task
481908	12	23	3	interval
493890	8	24	1	rest
501925	7	24	2	task
508793	3	24	3	interval
