onset	duration	trial	value	instruction
15184	7	1	3	interval
22058	5	2	1	rest
27163	8	2	2	task
35127	7	2	3	interval
42059	5	3	1	rest
47167	8	3	2	task
55196	12	3	3	interval
67169	8	4	1	rest
75138	7	4	2	task
82071	5	4	3	interval
87168	8	5	1	rest
95184	7	5	2	task
102069	5	5	3	interval
107183	8	6	1	rest
115241	7	6	2	task
122073	5	6	3	interval
127180	8	7	1	rest
135221	7	7	2	task
142081	5	7	3	interval
147181	8	8	1	rest
155218	7	8	2	task
162082	5	8	3	interval
167185	8	9	1	rest
175265	7	9	2	task
182085	5	9	3	interval
187199	8	10	1	rest
195214	7	10	2	task
202089	5	10	3	interval
207189	8	11	1	rest
215206	7	11	2	task
222093	5	11	3	interval
227191	8	12	1	rest
235226	7	12	2	task
242085	5	12	3	interval
247194	8	13	1	rest
255201	7	13	2	task
262096	5	13	3	interval
267192	8	14	1	rest
275203	7	14	2	task
282097	5	14	3	interval
287199	8	15	1	rest
295220	7	15	2	task
302093	5	15	3	interval
307207	8	16	1	rest
315265	7	16	2	task
322104	5	16	3	interval
327208	8	17	1	rest
335247	7	17	2	task
342107	5	17	3	interval
347205	8	18	1	rest
355235	7	18	2	task
362102	5	18	3	interval
367205	8	19	1	rest
375247	7	19	2	task
382105	5	19	3	interval
387203	8	20	1	rest
395224	7	20	2	task
402103	5	20	3	interval
407208	8	21	1	rest
415228	7	21	2	task
422104	5	21	3	interval
427206	8	22	1	rest
435259	7	22	2	task
442105	5	22	3	interval
447204	8	23	1	rest
455234	7	23	2	task
462129	5	23	3	interval
467210	8	24	1	rest
475223	7	24	2	task
482120	5	24	3	interval
487209	8	25	1	rest
495243	7	25	2	task
502112	8	25	3	interval
