onset	duration	trial	value	instruction
7305	8	1	3	interval
15254	7	2	1	rest
22101	5	2	2	task
27248	8	2	3	interval
35238	7	3	1	rest
42103	6	3	2	task
47812	7	3	3	interval
55254	7	4	1	rest
62101	6	4	2	task
67593	8	4	3	interval
75226	7	5	1	rest
82101	7	5	2	task
88913	6	5	3	interval
95247	7	6	1	rest
102112	5	6	2	task
107405	8	6	3	interval
115247	7	7	1	rest
122103	5	7	2	task
127268	8	7	3	interval
135247	7	8	1	rest
142105	7	8	2	task
148994	6	8	3	interval
155203	7	9	1	rest
162117	8	9	2	task
169737	6	9	3	interval
175274	15	10	1	rest
190068	5	10	2	task
195286	7	10	3	interval
202120	6	11	1	rest
208491	7	11	2	task
215257	14	11	3	interval
228713	7	12	1	rest
235221	7	12	2	task
242126	5	12	3	interval
247310	8	13	1	rest
255238	7	13	2	task
262133	5	13	3	interval
267561	8	14	1	rest
275255	8	14	2	task
282793	7	14	3	interval
289566	6	15	1	rest
295229	7	15	2	task
302133	6	15	3	interval
307867	7	16	1	rest
315271	7	16	2	task
322130	7	16	3	interval
328874	6	17	1	rest
335233	8	17	2	task
343242	7	17	3	interval
349979	5	18	1	rest
355255	7	18	2	task
362154	8	18	3	interval
369645	6	19	1	rest
375227	7	19	2	task
382138	6	19	3	interval
388553	7	20	1	rest
395250	7	20	2	task
402138	7	20	3	interval
409011	6	21	1	rest
415309	7	21	2	task
422522	7	21	3	interval
429303	6	22	1	rest
435290	7	22	2	task
442147	5	22	3	interval
447293	8	23	1	rest
455249	7	23	2	task
462158	7	23	3	interval
468930	6	24	1	rest
475311	7	24	2	task
482147	7	24	3	interval
489135	6	25	1	rest
495280	7	25	2	task
502173	5	25	3	interval
