onset	duration	trial	value	instruction
35349	8	1	1	rest
43276	7	1	2	task
50283	5	1	3	interval
55303	8	2	1	rest
63279	7	2	2	task
70260	5	2	3	interval
75301	8	3	1	rest
83257	7	3	2	task
90285	5	3	3	interval
95305	8	4	1	rest
103259	7	4	2	task
110260	5	4	3	interval
115305	8	5	1	rest
123285	7	5	2	task
130287	5	5	3	interval
135305	8	6	1	rest
143263	7	6	2	task
150285	5	6	3	interval
155302	8	7	1	rest
163277	7	7	2	task
170259	5	7	3	interval
175309	8	8	1	rest
183281	7	8	2	task
190268	5	8	3	interval
195309	8	9	1	rest
203271	7	9	2	task
210257	5	9	3	interval
215309	8	10	1	rest
223296	7	10	2	task
230263	5	10	3	interval
235308	8	11	1	rest
243298	7	11	2	task
250270	5	11	3	interval
255312	8	12	1	rest
263293	7	12	2	task
270300	5	12	3	interval
275315	8	13	1	rest
283285	7	13	2	task
290291	5	13	3	interval
295315	8	14	1	rest
303294	7	14	2	task
310289	5	14	3	interval
315315	8	15	1	rest
323273	7	15	2	task
330272	5	15	3	interval
335318	8	16	1	rest
343272	7	16	2	task
350301	5	16	3	interval
355317	8	17	1	rest
363277	7	17	2	task
370295	5	17	3	interval
375319	8	18	1	rest
383307	7	18	2	task
390278	5	18	3	interval
395322	8	19	1	rest
403301	7	19	2	task
410286	5	19	3	interval
415323	8	20	1	rest
423320	7	20	2	task
430312	5	20	3	interval
