onset	duration	trial	value	instruction
10099	8	1	3	interval
18122	7	2	1	rest
24985	5	2	2	task
30085	8	2	3	interval
38061	7	3	1	rest
44978	5	3	2	task
50089	8	3	3	interval
58128	7	4	1	rest
64980	5	4	2	task
70101	8	4	3	interval
78171	7	5	1	rest
84992	5	5	2	task
90090	8	5	3	interval
98152	7	6	1	rest
105456	5	6	2	task
110097	8	6	3	interval
118165	12	7	1	rest
130101	8	7	2	task
138110	7	7	3	interval
145001	5	8	1	rest
150105	8	8	2	task
158125	7	8	3	interval
164999	5	9	1	rest
170100	8	9	2	task
178142	7	9	3	interval
185000	5	10	1	rest
190107	8	10	2	task
198153	7	10	3	interval
205010	5	11	1	rest
210105	8	11	2	task
218123	7	11	3	interval
225013	5	12	1	rest
230103	8	12	2	task
238141	7	12	3	interval
245006	5	13	1	rest
250111	8	13	2	task
258150	7	13	3	interval
265013	5	14	1	rest
270135	8	14	2	task
278168	7	14	3	interval
285014	5	15	1	rest
290118	8	15	2	task
298126	7	15	3	interval
305007	5	16	1	rest
310117	8	16	2	task
318154	7	16	3	interval
325043	5	17	1	rest
330117	8	17	2	task
338158	7	17	3	interval
345018	5	18	1	rest
350118	8	18	2	task
358154	7	18	3	interval
365014	5	19	1	rest
370139	8	19	2	task
378111	7	19	3	interval
385027	5	20	1	rest
390150	8	20	2	task
398191	7	20	3	interval
405029	5	21	1	rest
410124	8	21	2	task
418133	7	21	3	interval
425029	5	22	1	rest
430129	8	22	2	task
438157	7	22	3	interval
445036	5	23	1	rest
450130	8	23	2	task
458144	7	23	3	interval
465032	5	24	1	rest
470140	8	24	2	task
478173	12	24	3	interval
490143	8	25	1	rest
498163	7	25	2	task
505040	5	25	3	interval
