onset	duration	trial	value	instruction
19367	8	1	1	rest
27261	7	1	2	task
34246	5	1	3	interval
39291	8	2	1	rest
47247	7	2	2	task
54245	5	2	3	interval
59292	8	3	1	rest
67247	7	3	2	task
74249	5	3	3	interval
79295	8	4	1	rest
87251	7	4	2	task
94250	5	4	3	interval
99306	8	5	1	rest
107259	7	5	2	task
114261	5	5	3	interval
119304	8	6	1	rest
127251	7	6	2	task
134257	5	6	3	interval
139306	8	7	1	rest
147270	7	7	2	task
154267	5	7	3	interval
159312	8	8	1	rest
167267	7	8	2	task
174268	5	8	3	interval
179314	8	9	1	rest
187282	7	9	2	task
194266	5	9	3	interval
199322	8	10	1	rest
207292	7	10	2	task
214274	5	10	3	interval
219319	8	11	1	rest
227295	7	11	2	task
234272	5	11	3	interval
239331	8	12	1	rest
247268	7	12	2	task
254333	5	12	3	interval
259319	8	13	1	rest
267304	7	13	2	task
274277	5	13	3	interval
279339	8	14	1	rest
287279	7	14	2	task
294312	5	14	3	interval
299331	8	15	1	rest
307288	7	15	2	task
314288	5	15	3	interval
319335	8	16	1	rest
327290	7	16	2	task
334315	5	16	3	interval
339334	8	17	1	rest
347286	7	17	2	task
354288	5	17	3	interval
359352	8	18	1	rest
367292	7	18	2	task
374295	5	18	3	interval
379338	8	19	1	rest
387318	7	19	2	task
394288	5	19	3	interval
399336	8	20	1	rest
407298	7	20	2	task
414288	5	20	3	interval
