onset	duration	trial	value	instruction
11061	8	1	3	interval
19022	7	2	1	rest
25880	5	2	2	task
30971	8	2	3	interval
38990	7	3	1	rest
45876	5	3	2	task
50988	8	3	3	interval
58997	12	4	1	rest
70979	8	4	2	task
79035	7	4	3	interval
85883	5	5	1	rest
90998	8	5	2	task
99028	7	5	3	interval
105885	5	6	1	rest
110990	8	6	2	task
119000	7	6	3	interval
125893	5	7	1	rest
130997	8	7	2	task
139002	7	7	3	interval
145913	5	8	1	rest
150996	8	8	2	task
159011	7	8	3	interval
165895	5	9	1	rest
170996	8	9	2	task
179026	7	9	3	interval
185895	5	10	1	rest
190998	8	10	2	task
199015	12	10	3	interval
211000	8	11	1	rest
219014	7	11	2	task
225905	5	11	3	interval
230997	8	12	1	rest
239011	7	12	2	task
245912	5	12	3	interval
251002	8	13	1	rest
259016	7	13	2	task
265902	5	13	3	interval
271014	8	14	1	rest
279066	7	14	2	task
285910	5	14	3	interval
291016	8	15	1	rest
299031	7	15	2	task
305919	5	15	3	interval
311021	8	16	1	rest
318975	7	16	2	task
325916	5	16	3	interval
331014	8	17	1	rest
339048	7	17	2	task
345920	5	17	3	interval
351036	8	18	1	rest
359037	7	18	2	task
366065	5	18	3	interval
371020	8	19	1	rest
379012	7	19	2	task
385917	5	19	3	interval
391021	8	20	1	rest
398989	7	20	2	task
405920	5	20	3	interval
411022	8	21	1	rest
419046	7	21	2	task
425924	5	21	3	interval
431026	8	22	1	rest
439031	7	22	2	task
445924	5	22	3	interval
451029	8	23	1	rest
459083	7	23	2	task
465930	5	23	3	interval
471027	8	24	1	rest
479075	7	24	2	task
485926	5	24	3	interval
491028	8	25	1	rest
499064	8	25	2	task
506648	5	25	3	interval
