onset	duration	trial	value	instruction
7943	8	1	1	rest
15913	7	1	2	task
22750	5	1	3	interval
28014	8	2	1	rest
35895	7	2	2	task
42754	6	2	3	interval
48750	7	3	1	rest
55863	7	3	2	task
62756	7	3	3	interval
70033	6	4	1	rest
75845	7	4	2	task
82753	7	4	3	interval
89954	6	5	1	rest
95893	7	5	2	task
102772	7	5	3	interval
109714	6	6	1	rest
115899	7	6	2	task
122764	7	6	3	interval
129725	6	7	1	rest
135923	7	7	2	task
142768	7	7	3	interval
150074	6	8	1	rest
155861	7	8	2	task
162780	6	8	3	interval
168999	7	9	1	rest
175872	7	9	2	task
182779	7	9	3	interval
189633	6	10	1	rest
195907	7	10	2	task
202793	5	10	3	interval
208216	8	11	1	rest
215913	7	11	2	task
222786	7	11	3	interval
229791	6	12	1	rest
235940	7	12	2	task
242778	6	12	3	interval
248326	8	13	1	rest
255923	7	13	2	task
262783	7	13	3	interval
269426	7	14	1	rest
275891	7	14	2	task
282799	7	14	3	interval
289620	6	15	1	rest
295866	7	15	2	task
302802	7	15	3	interval
309692	6	16	1	rest
315935	7	16	2	task
322806	7	16	3	interval
329865	6	17	1	rest
335931	7	17	2	task
342796	6	17	3	interval
348251	8	18	1	rest
355950	7	18	2	task
362797	7	18	3	interval
369995	6	19	1	rest
375926	7	19	2	task
382798	7	19	3	interval
389701	6	20	1	rest
395964	7	20	2	task
402798	7	20	3	interval
409489	7	21	1	rest
415955	8	21	2	task
423618	7	21	3	interval
430204	6	22	1	rest
435941	7	22	2	task
442807	7	22	3	interval
450084	6	23	1	rest
455925	7	23	2	task
462816	7	23	3	interval
469954	6	24	1	rest
475925	7	24	2	task
482815	5	24	3	interval
488163	8	25	1	rest
495935	7	25	2	task
502820	5	25	3	interval
