onset	duration	trial	value	instruction
13376	8	1	1	rest
21395	7	1	2	task
28258	5	1	3	interval
33302	8	2	1	rest
41260	7	2	2	task
48192	5	2	3	interval
53297	8	3	1	rest
61304	9	3	2	task
69946	3	3	3	interval
73327	8	4	1	rest
81314	7	4	2	task
88203	5	4	3	interval
93313	8	5	1	rest
101315	7	5	2	task
108220	5	5	3	interval
113311	8	6	1	rest
121323	7	6	2	task
128207	5	6	3	interval
133313	8	7	1	rest
141370	7	7	2	task
148205	5	7	3	interval
153316	8	8	1	rest
161334	7	8	2	task
168213	5	8	3	interval
173317	8	9	1	rest
181342	7	9	2	task
188213	5	9	3	interval
193320	8	10	1	rest
201382	7	10	2	task
208615	5	10	3	interval
213315	8	11	1	rest
221361	7	11	2	task
228227	5	11	3	interval
233328	8	12	1	rest
241344	7	12	2	task
248218	5	12	3	interval
253324	8	13	1	rest
261356	7	13	2	task
268223	5	13	3	interval
273323	8	14	1	rest
281351	7	14	2	task
288225	5	14	3	interval
293321	8	15	1	rest
301276	7	15	2	task
308218	5	15	3	interval
313322	8	16	1	rest
321365	7	16	2	task
328224	5	16	3	interval
333335	8	17	1	rest
341361	7	17	2	task
348230	5	17	3	interval
353331	8	18	1	rest
361361	7	18	2	task
368229	5	18	3	interval
373331	8	19	1	rest
381350	7	19	2	task
388235	5	19	3	interval
393342	8	20	1	rest
401359	7	20	2	task
408234	5	20	3	interval
413339	8	21	1	rest
421378	7	21	2	task
428241	5	21	3	interval
433344	8	22	1	rest
441399	7	22	2	task
448259	5	22	3	interval
453352	8	23	1	rest
461363	7	23	2	task
468440	5	23	3	interval
473347	8	24	1	rest
481406	7	24	2	task
488243	5	24	3	interval
493355	8	25	1	rest
501357	7	25	2	task
508244	5	25	3	interval
