onset	duration	trial	value	instruction
11835	8	1	1	rest
19830	7	1	2	task
26667	6	1	3	interval
33038	7	2	1	rest
39794	7	2	2	task
46842	7	2	3	interval
53617	6	3	1	rest
59796	7	3	2	task
66686	6	3	3	interval
72676	7	4	1	rest
79797	7	4	2	task
86669	7	4	3	interval
93137	7	5	1	rest
99813	7	5	2	task
106669	7	5	3	interval
113222	7	6	1	rest
119818	7	6	2	task
126735	7	6	3	interval
133841	6	7	1	rest
139781	7	7	2	task
146692	6	7	3	interval
152361	7	8	1	rest
159764	7	8	2	task
166668	6	8	3	interval
172970	7	9	1	rest
179777	7	9	2	task
186673	6	9	3	interval
192149	8	10	1	rest
199836	7	10	2	task
206680	7	10	3	interval
213142	7	11	1	rest
219815	7	11	2	task
226679	7	11	3	interval
233392	6	12	1	rest
239817	7	12	2	task
246677	5	12	3	interval
251983	8	13	1	rest
259778	7	13	2	task
266689	7	13	3	interval
273295	7	14	1	rest
279814	7	14	2	task
286699	5	14	3	interval
292026	8	15	1	rest
299845	7	15	2	task
306712	7	15	3	interval
313515	6	16	1	rest
319844	7	16	2	task
326695	8	16	3	interval
334259	6	17	1	rest
339798	7	17	2	task
346707	5	17	3	interval
351865	8	18	1	rest
359797	7	18	2	task
366694	7	18	3	interval
373632	6	19	1	rest
379850	7	19	2	task
386692	5	19	3	interval
392135	8	20	1	rest
399825	7	20	2	task
406695	6	20	3	interval
413088	7	21	1	rest
419803	7	21	2	task
426704	8	21	3	interval
434363	6	22	1	rest
439837	7	22	2	task
446699	7	22	3	interval
453593	6	23	1	rest
459848	7	23	2	task
466701	7	23	3	interval
473620	6	24	1	rest
479821	7	24	2	task
486700	8	24	3	interval
494401	6	25	1	rest
499852	7	25	2	task
506698	6	25	3	interval
