name	x	y	z	impedance
E1	7.05836	-5.56273	-2.13833	8.60864056628638
E2	7.94136	-5.334	0.2371	14.0729283542769
E3	8.61151	-4.257	2.77296	2.81350510182459
E4	8.04222	-2.68245	5.31354	2.71788796995275
E5	6.33091	-1.63804	7.00984	6.09764518363495
E6	3.89585	-0	8.14682	10.8091610683232
E7	1.74142	1.41305	8.45875	9.89967323223245
E8	9.34083	-4.09179	-1.72351	6.95024940186922
E9	9.82549	-3.3556	0.750687	3.06814383022146
E10	9.61435	-2.39622	3.5151	3.79194819069932
E11	8.60698	-0	5.88719	3.13757193089122
E12	6.33091	1.63804	7.00984	4.6377364720966
E13	3.66109	2.67447	7.65927	8.12048759635839
E14	10.609	-1.984	-1.23837	7.37871246666474
E15	10.6507	-1.21058	1.24742	7.85558242255646
E16	10.1982	-0	3.52745	4.23327719380359
E17	10.5352	-0	-2.71023	12.0263009908707
E18	10.6507	1.21058	1.24742	3.93725659048728
E19	9.61435	2.39622	3.5151	4.22849083287771
E20	8.04222	2.68245	5.31354	8.61088931210387
E21	5.67672	3.7358	6.23543	3.85691125678428
E22	10.609	1.984	-1.23837	11.2233069116331
E23	9.82549	3.3556	0.750687	7.98540659930504
E24	8.61151	4.257	2.77296	8.75551796337473
E25	6.94583	4.72647	4.29259	5.57459868944199
E26	9.34083	4.09179	-1.72351	9.11069383353571
E27	7.94136	5.334	0.2371	11.4943061136523
E28	6.37719	5.88862	2.05983	7.0374751100591
E29	4.58172	6.08477	4.04119	6.79222978648341
E30	3.01496	5.17735	6.17561	7.44724176927014
E31	0.976844000000001	3.90573	7.58964	5.3176621490872
E32	-1.22344	2.28818	8.35468	13.1087466077253
E33	7.05836	5.56273	-2.13833	12.1144747043549
E34	5.66018	6.28567	-0.325478	6.89329916822983
E35	3.71219	6.93929	1.96627	4.6205387597464
E36	2.25109	6.96513	3.83809	3.02784589752297
E37	0.279191000000001	6.20327	5.88833	4.04698674168981
E38	-1.83783	4.74906	7.20099	10.9184743035918
