onset	duration	trial	value	instruction
14276	8	1	2	task
22207	7	1	3	interval
29072	5	2	1	rest
34169	8	2	2	task
42202	7	2	3	interval
49067	5	3	1	rest
54169	8	3	2	task
62226	7	3	3	interval
69093	5	4	1	rest
74177	8	4	2	task
82207	7	4	3	interval
89198	5	5	1	rest
94169	8	5	2	task
102175	7	5	3	interval
109067	5	6	1	rest
114174	8	6	2	task
122155	7	6	3	interval
129067	5	7	1	rest
134171	8	7	2	task
142226	7	7	3	interval
149075	5	8	1	rest
154174	8	8	2	task
162188	7	8	3	interval
169087	5	9	1	rest
174176	8	9	2	task
182207	7	9	3	interval
189087	5	10	1	rest
194181	8	10	2	task
202191	7	10	3	interval
209073	5	11	1	rest
214177	8	11	2	task
222209	7	11	3	interval
229074	5	12	1	rest
234177	8	12	2	task
242178	7	12	3	interval
249110	5	13	1	rest
254188	8	13	2	task
262222	7	13	3	interval
269087	5	14	1	rest
274190	8	14	2	task
282195	12	14	3	interval
294189	8	15	1	rest
302217	7	15	2	task
309097	5	15	3	interval
314190	8	16	1	rest
322256	7	16	2	task
329091	5	16	3	interval
334198	8	17	1	rest
342234	7	17	2	task
349117	5	17	3	interval
354200	8	18	1	rest
362206	7	18	2	task
369098	5	18	3	interval
374201	8	19	1	rest
382240	7	19	2	task
389093	5	19	3	interval
394195	8	20	1	rest
402231	7	20	2	task
409094	5	20	3	interval
414198	8	21	1	rest
422235	7	21	2	task
429098	5	21	3	interval
434199	8	22	1	rest
442229	7	22	2	task
449198	5	22	3	interval
454205	8	23	1	rest
462222	7	23	2	task
469102	5	23	3	interval
474198	8	24	1	rest
482230	7	24	2	task
489099	5	24	3	interval
494195	8	25	1	rest
502204	7	25	2	task
509112	5	25	3	interval
