onset	duration	trial	value	instruction
10032	8	1	3	interval
18046	7	2	1	rest
24964	5	2	2	task
29976	8	2	3	interval
37978	7	3	1	rest
44872	5	3	2	task
49993	8	3	3	interval
57972	7	4	1	rest
64888	5	4	2	task
69977	8	4	3	interval
78013	12	5	1	rest
89982	8	5	2	task
97990	7	5	3	interval
104880	5	6	1	rest
109991	8	6	2	task
118036	7	6	3	interval
124886	5	7	1	rest
129981	8	7	2	task
138018	7	7	3	interval
144937	5	8	1	rest
149999	8	8	2	task
157970	7	8	3	interval
164883	5	9	1	rest
169994	8	9	2	task
178013	12	9	3	interval
190001	8	10	1	rest
197999	7	10	2	task
204911	5	10	3	interval
209998	8	11	1	rest
218014	7	11	2	task
224894	5	11	3	interval
230013	8	12	1	rest
238036	7	12	2	task
244900	5	12	3	interval
250003	8	13	1	rest
258049	7	13	2	task
264898	5	13	3	interval
270004	8	14	1	rest
278015	7	14	2	task
284913	5	14	3	interval
290012	8	15	1	rest
298043	7	15	2	task
304908	5	15	3	interval
310011	8	16	1	rest
318086	7	16	2	task
324905	5	16	3	interval
330009	8	17	1	rest
338045	7	17	2	task
344901	5	17	3	interval
350022	8	18	1	rest
358011	7	18	2	task
364904	5	18	3	interval
370017	8	19	1	rest
378050	7	19	2	task
384911	5	19	3	interval
390014	8	20	1	rest
398091	7	20	2	task
404915	5	20	3	interval
410011	8	21	1	rest
418037	7	21	2	task
424910	5	21	3	interval
430009	8	22	1	rest
438046	7	22	2	task
444913	5	22	3	interval
450027	8	23	1	rest
458091	7	23	2	task
464912	5	23	3	interval
470015	8	24	1	rest
478013	7	24	2	task
484930	5	24	3	interval
490026	8	25	1	rest
498046	7	25	2	task
504921	5	25	3	interval
