onset	duration	trial	value	instruction
6807	8	1	1	rest
14820	7	1	2	task
21692	5	1	3	interval
26789	8	2	1	rest
34856	7	2	2	task
41687	5	2	3	interval
46789	8	3	1	rest
54859	7	3	2	task
61695	5	3	3	interval
66792	8	4	1	rest
74846	7	4	2	task
81694	5	4	3	interval
86805	8	5	1	rest
94845	7	5	2	task
101705	5	5	3	interval
106801	8	6	1	rest
114819	7	6	2	task
121702	5	6	3	interval
126806	8	7	1	rest
134862	7	7	2	task
141707	5	7	3	interval
146801	8	8	1	rest
154848	7	8	2	task
161705	5	8	3	interval
166807	8	9	1	rest
174798	7	9	2	task
181706	5	9	3	interval
186818	8	10	1	rest
194842	7	10	2	task
201711	5	10	3	interval
206824	8	11	1	rest
214833	7	11	2	task
221851	5	11	3	interval
226822	8	12	1	rest
234855	7	12	2	task
241718	5	12	3	interval
246824	8	13	1	rest
254858	7	13	2	task
261725	5	13	3	interval
266835	8	14	1	rest
274798	7	14	2	task
281727	5	14	3	interval
286839	8	15	1	rest
294877	7	15	2	task
301727	5	15	3	interval
306856	8	16	1	rest
314888	7	16	2	task
321734	5	16	3	interval
326843	8	17	1	rest
334892	7	17	2	task
341740	5	17	3	interval
346843	8	18	1	rest
354873	7	18	2	task
361735	5	18	3	interval
366847	8	19	1	rest
374862	7	19	2	task
381852	5	19	3	interval
386846	8	20	1	rest
394915	7	20	2	task
401741	5	20	3	interval
406848	8	21	1	rest
414902	7	21	2	task
421753	5	21	3	interval
426846	8	22	1	rest
434875	7	22	2	task
441747	5	22	3	interval
446852	8	23	1	rest
454889	7	23	2	task
461750	5	23	3	interval
466848	8	24	1	rest
474859	7	24	2	task
481747	5	24	3	interval
486866	8	25	1	rest
494909	7	25	2	task
501770	5	25	3	interval
