onset	duration	trial	value	instruction
34123	8	1	1	rest
41981	7	1	2	task
48954	5	1	3	interval
54019	8	2	1	rest
61973	7	2	2	task
68915	5	2	3	interval
73977	8	3	1	rest
81924	7	3	2	task
88923	5	3	3	interval
93962	8	4	1	rest
101927	7	4	2	task
108922	5	4	3	interval
113962	8	5	1	rest
121927	7	5	2	task
128931	5	5	3	interval
133974	8	6	1	rest
141949	7	6	2	task
148926	5	6	3	interval
153965	8	7	1	rest
161927	7	7	2	task
168932	5	7	3	interval
173970	8	8	1	rest
181927	7	8	2	task
188928	5	8	3	interval
193972	8	9	1	rest
201928	7	9	2	task
208927	5	9	3	interval
213973	8	10	1	rest
221931	7	10	2	task
228927	5	10	3	interval
233975	8	11	1	rest
241925	7	11	2	task
248927	5	11	3	interval
253976	8	12	1	rest
261959	7	12	2	task
268989	5	12	3	interval
273984	8	13	1	rest
281942	7	13	2	task
288936	5	13	3	interval
293994	8	14	1	rest
301939	7	14	2	task
308971	5	14	3	interval
313988	8	15	1	rest
321948	7	15	2	task
328948	5	15	3	interval
333995	8	16	1	rest
341943	7	16	2	task
348950	5	16	3	interval
353996	8	17	1	rest
361979	7	17	2	task
368946	5	17	3	interval
373999	8	18	1	rest
381951	7	18	2	task
388953	5	18	3	interval
393994	8	19	1	rest
401957	7	19	2	task
408949	5	19	3	interval
414009	8	20	1	rest
421961	7	20	2	task
428963	5	20	3	interval
